brand_name,product_name,product_id,beauty_point_earned,price_range,price_by_combinations,url,active_date,default_category,categories,rating_types_str,average_rating,total_reviews,average_rating_by_types,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist
558_cosrx,Full Fit Propolis Synergy Pad,101744,70,Rp 395.000,"""70 pads"": 395000",https://www.sociolla.com/toner/73402-full-fit-propolis-synergy-pad,2023-06-22T03:50:20.948Z,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.9,10,"""star_effectiveness"": 4.8; ""star_packaging"": 5; ""star_texture"": 5; ""star_value_for_money"": 4.8",10,2,0,8,470
558_cosrx,Clear Fit Master Patch (Set of 3),80362,30,Rp 177.000,,https://www.sociolla.com/acne-pimple-patch/52020-clear-fit-master-patch-set-of-3,2022-07-18T11:06:37.082Z,Acne / Pimple Patch,Skincare; Treatment; Acne / Pimple Patch,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,0.0,0,,0,0,0,0,1438
558_cosrx,Acne Pimple Master Patch (Set of 3),80361,30,Rp 177.000,,https://www.sociolla.com/acne-pimple-patch/52019-acne-pimple-master-patch-set-of-3,2022-05-14T13:25:10.817Z,Acne / Pimple Patch,Skincare; Treatment; Acne / Pimple Patch,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.5,2,"""star_effectiveness"": 4.5; ""star_packaging"": 4.5; ""star_texture"": 4.5; ""star_value_for_money"": 4.5",2,0,0,2,2599
558_cosrx,AC Must Have (AC Collection Calming Foam Cleanser + AC Collection Ultimate Spot Cream),78984,100,Rp 530.000,,https://www.sociolla.com/default-category/50642-ac-must-have-ac-collection-calming-foam-cleanser-ac-collection-ultimate-spot-cream,2022-11-16T10:15:14.162Z,Acne Treatment / Sealing gel / Cream,Skincare; Treatment; Acne Treatment / Sealing gel / Cream,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,0.0,0,,0,0,0,0,177
558_cosrx,AC Collection Ultimate Spot Cream,63046,60,Rp 315.000,"""30 gr"": 315000",https://www.sociolla.com/acne-treatment-sealing-gel-cream/43239-ac-collection-ultimate-spot-cream,2022-04-30T15:46:55.237Z,Acne Treatment / Sealing gel / Cream,Skincare; Treatment; Acne Treatment / Sealing gel / Cream,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.553154205607477,428,"""star_effectiveness"": 4.579439252336448; ""star_packaging"": 4.808411214953271; ""star_texture"": 4.642523364485982; ""star_value_for_money"": 4.182242990654205",400,129,22,277,2064
558_cosrx,Pure Fit Cica Cleanser,81949,40,Rp 249.000,"""150 ml"": 249000",https://www.sociolla.com/face-wash/53607-pure-fit-cica-cleanser,2022-05-12T02:52:00.521Z,Face Wash,Skincare; Cleanser; Face Wash,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.608040201005025,199,"""star_effectiveness"": 4.592964824120603; ""star_packaging"": 4.788944723618091; ""star_texture"": 4.63819095477387; ""star_value_for_money"": 4.4120603015075375",183,41,17,141,1119
558_cosrx,Pure Fit Cica Smoothing Cleanser Balm,91701,60,Rp 300.000,"""120ml"": 300000",https://www.sociolla.com/cleansing-balm/63359-pure-fit-cica-smoothing-cleanser-balm,2022-07-18T02:56:37.378Z,Cleansing Balm,Skincare; Cleanser; Cleansing Balm,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.488505747126437,87,"""star_effectiveness"": 4.528735632183908; ""star_packaging"": 4.67816091954023; ""star_texture"": 4.482758620689655; ""star_value_for_money"": 4.264367816091954",73,17,12,58,521
558_cosrx,AC Collection Calming Liquid Intensive,74923,70,Rp 389.000,"""125 ml"": 389000",https://www.sociolla.com/toner/28103-ac-collection-calming-liquid-intensive,2022-04-30T15:45:00.723Z,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.618055555555555,324,"""star_effectiveness"": 4.694444444444445; ""star_packaging"": 4.780864197530864; ""star_texture"": 4.756172839506172; ""star_value_for_money"": 4.2407407407407405",308,81,25,218,841
558_cosrx,Pure Fit Cica Toner,81950,60,Rp 320.000,"""150 ml"": 320000",https://www.sociolla.com/toner/53608-pure-fit-cica-toner,2022-05-12T03:02:31.676Z,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.631226053639847,261,"""star_effectiveness"": 4.670498084291188; ""star_packaging"": 4.681992337164751; ""star_texture"": 4.7701149425287355; ""star_value_for_money"": 4.402298850574713",246,46,17,198,1397
558_cosrx,Acne Healing & Skin Soothing Bundle,84302,150,Rp 788.000,,https://www.sociolla.com/default-category/55960-acne-healing-and-skin-soothing-bundle,2022-10-13T03:25:09.365Z,Skin Care Set,Skincare; Skin Care Set; Skin Care Set,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.25,1,"""star_effectiveness"": 5; ""star_packaging"": 4; ""star_texture"": 4; ""star_value_for_money"": 4",1,0,0,1,97
