user_name,is_expert_reviewer,user_level,user_id,skin_types,age_range,is_repurchase,is_recommended,star_effectiveness,star_packaging,star_texture,star_value_for_money,source,created_at,total_likes,is_verified_purchase,details,duration_of_used,product_id,product_name,product_size
aviram,False,Super Star,5c1ac6de3b351a332004f000,Kulit Kering;Kulit Sensitif;Cellulite;Stretch Mark;Pori Besar;Kulit Kusam;Dark Circle,25 - 29 th,yes,yes,5,5,5,5,review-ios,2023-07-23T01:43:42.925Z,0,True,"setelah perjalanan trial and error dg berbagai macam sunscreen, sunscreen ini bener bener cocok untuk kulit yg hypoallergenic at least for me, yg ga bikin panas sama sekali saat apply, cepat nyerap, dan sesuai dg deskripsi kalau dia ini soothing.",1 - 3 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
bellamamta,False,Rising Star,5d6cccf0ed6ba700065040f5,Kulit Kombinasi;Kulit Kusam;Dark Circle;Komedo,19 - 24 th,yes,yes,5,5,4,4,review-ios,2023-07-23T01:19:38.523Z,0,True,"teksturnya cream sedikit thick, jadi sedikit lama buat ngeblend sama meresapnya, tapi dia gabikin oily di muka, packaging cosrx gausa ditanya lah ya simple tapi okey, sizenya ga terlalu gede jadi travel friendly yuhu",3 - 6 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
hannahs,False,Diva Star,5fa9334f874c057e027fcda2,Kulit Berminyak;Kulit Sensitif;Jerawat;Aging;Flek;Pori Besar;Kulit Kusam;Komedo,> 40 th,yes,yes,5,5,5,5,review-ios,2023-07-22T17:22:27.476Z,0,True,"Holy grail for me, it has a matte finish. Most sunscreen are oily so this is the only one that fits my oily skin. Sufficient to apply loose powder over it. ",6 Months - 1 Year,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
isabella24,False,Rising Star,5d25fdb323de8200066183f7,Kulit Kombinasi;Kulit Kusam;Dark Circle;Komedo,25 - 29 th,yes,yes,5,4,4,5,review-android,2023-07-22T15:37:13.031Z,0,True,"Masuk list sunscreen fave kun nih. gampang di apply, gabikin jerawatan pokoknya ok. minesnya diaku yg oily skin, dia gakasih kesan mate jadi ga mengcover oily oily dimuka ku. over all mantap sih, gabikin muka ku keliatan oily banget juga.",6 Months - 1 Year,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,
Windiasnofa,False,Rising Star,5dfb2cd7350a0329ffe0ea1e,Kulit Berminyak;Kulit Kombinasi;Kulit Sensitif;Jerawat;Flek;Komedo,19 - 24 th,yes,yes,5,5,5,5,review-ios,2023-07-22T14:21:34.237Z,0,True,Suka banget sama teksturnya ringan dan ga ada with cash cuma ya emang agak pricy sih di banding sunscreen lain cuma ya oke lah semoga cocok terus ya hehe,Less than 1 Week,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
kareninapau,False,Rising Star,5cf87649e7ac8c00050b6a4d,Kulit Berminyak;Jerawat;Kulit Kusam;Komedo,19 - 24 th,yes,yes,5,5,5,3,review-ios,2023-07-22T13:55:44.635Z,0,True,The most lightweight sunscreen I ever use! Enggak leave white cast dan enggak terlalu lengket. A bit pricey tapi sangat” worth the price ❤️ kalau dipakein make up juga enggak dempul begitu o u o,1 Week - 1 Month,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
mouroull,False,Diva Star,5e8878030602240db5d2b391,Kulit Kombinasi;Pori Besar;Dark Circle;Komedo,< 18 th,yes,yes,5,5,5,5,review-ios,2023-07-22T13:08:11.546Z,0,True,Korean sunscreen pertama yang dipake. kulit agak sensitif tapi pake ini cocok dan ga perih di muka. Gampang di blend dan ga ada white cast. bakal beli lagi kalo abis,1 - 3 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
qezawibisono,False,SOCO Star,64a3d64f9e468f2a0ef03f74,Kulit Kombinasi;Kulit Sensitif,19 - 24 th,yes,yes,5,5,4,5,review-ios,2023-07-21T19:58:58.433Z,0,True,"Tidak menimbulkan iritasi di kulit sensitif combination, texturenya lebih matte/tebal tapi tetap enak, lembap dan meresap ke dalam kulit dengan cepat, doesn't clog pores",More than 1 Year,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
joycenatasya27,False,Rising Star,626407b7ce6a971e954ff0d9,,< 18 th,maybe,yes,5,5,4,4,review-android,2023-07-21T12:03:02.417Z,0,True,"bagus pakenya, khususnya buat kulit kering. rasanya pas make jadi lembab banget, terus teksturenya creamy"" gt. wajib beli deh pokoknh wkwkwkkwkwkkwkwk",6 Months - 1 Year,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
ShifaSabila23,False,SOCO Star,648fda966ae5eb8bf77086c6,Kulit Kombinasi;Komedo,< 18 th,yes,yes,5,5,5,5,review-android,2023-07-21T11:52:12.345Z,0,True,"Sunscreen ini juga bagus, ringan dan enak juga di pakai, dari komposisi sunscreen ini juga bagus bngt jadi aman bagi yang kulitnya lumayan sensitif. Approved bngt pokonya ",Less than 1 Week,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
